I	left	right	dP	P	left2	right2	P2	dP2
2.8	16.5	16.6	0.050000000000001	16.564	1.63	1.61	1.62	0.01
3	18	18.1	0.050000000000001	18.064	1.82	1.78	1.8	0.02
3.2	19.5	19.6	0.050000000000001	19.564	2.26	2.24	2.25	0.01
3.4	21	21	0	21.014	2.82	2.79	2.805	0.015
3.6	22.4	22.5	0.050000000000001	22.464	3.45	3.47	3.46	0.01
3.8	23.9	24	0.050000000000001	23.964	4.01	3.98	3.995	0.015
4	25.4	25.4	0	25.414	4.62	4.58	4.6	0.02
4.2	26.9	26.9	0	26.914	5.16	5.13	5.145	0.015
4.4	28.3	28.3	0	28.314	5.69	5.72	5.705	0.015
4.6	29.7	29.8	0.050000000000001	29.764	6.29	6.36	6.325	0.035
4.8	31	31.1	0.050000000000001	31.064	6.83	6	6.415	0.415
5	32.5	32.4	0.050000000000001	32.464	7.29	7.33	7.31	0.02
5.2	33.7	33.8	0.049999999999997	33.764	7.33	7.35	7.34	0.01
5.4	35.4	35.5	0.050000000000001	35.464	7.41	7.45	7.43	0.02
