I	left	right	dP	P
2.6	15	15.1	0.05	15.064	
2.8	16.5	16.6	0.050000000000001	16.564	
3	18	18.1	0.050000000000001	18.064	
3.2	19.5	19.6	0.050000000000001	19.564	
3.4	21	21	0	21.014	
3.6	22.4	22.5	0.050000000000001	22.464	
3.8	23.9	24	0.050000000000001	23.964	
4	25.4	25.4	0	25.414	
4.2	26.9	26.9	0	26.914	
4.4	28.3	28.3	0	28.314	
4.6	29.7	29.8	0.050000000000001	29.764	
4.8	31	31.1	0.050000000000001	31.064	
5	32.5	32.4	0.050000000000001	32.464	
5.2	33.7	33.8	0.049999999999997	33.764	
5.4	35.4	35.5	0.050000000000001	35.464	
5.6	36.8	36.9	0.050000000000001	36.864	
5.8	38.2	38.3	0.049999999999997	38.264	
6	39.6	39.7	0.050000000000001	39.664	
